employer_id,employer_name,industry,hq_state
EMP_000138,Prime Consulting Services,Real Estate,Kaduna
EMP_000139,Kano AgroCo Services,Agriculture,Akwa Ibom
EMP_000140,Kano AgroCo PLC,Manufacturing,Jigawa
EMP_000141,Bright Future NGO PLC,Healthcare,Taraba
EMP_000142,Atlas Security Services,Education,Abia
EMP_000143,Federal Service Dept PLC,Media,Sokoto
EMP_000144,Abuja Property Group Group,Telecoms,Enugu
EMP_000145,Sunrise Healthcare PLC,Logistics,Benue
EMP_000146,Bright Future NGO PLC,Public Sector,Zamfara
EMP_000147,Zuma Logistics PLC,Retail,Borno
EMP_000148,Metro Transport PLC,Public Sector,Lagos
EMP_000149,Nova Fintech Enterprises,Retail,Adamawa
EMP_000150,Metro Transport Holdings,Fintech,Rivers
EMP_000151,Harmony Telecoms Ltd,Education,Sokoto
EMP_000152,Greenfield Schools Group,Education,Enugu
EMP_000153,Lagos Retail Hub Ltd,Healthcare,Kwara
EMP_000154,Coastal Foods Ltd,Real Estate,Ekiti
EMP_000155,Sunrise Healthcare Services,Retail,Lagos
EMP_000156,Sunrise Healthcare Holdings,Education,Ekiti
EMP_000157,Adebayo Ventures PLC,Retail,Gombe
EMP_000158,Atlas Security Enterprises,Telecoms,Gombe
EMP_000159,Sunrise Healthcare PLC,Real Estate,Kaduna
EMP_000160,Nova Fintech Enterprises,Education,Katsina
EMP_000161,Bright Future NGO Ltd,NGO,Oyo
EMP_000162,Harmony Telecoms Group,Agriculture,Bauchi
EMP_000163,Harmony Telecoms Ltd,NGO,Ondo
EMP_000164,Bright Future NGO PLC,Retail,Kwara
EMP_000165,Unity Markets Ltd,Public Sector,Ebonyi
EMP_000166,Abuja Property Group Holdings,Fintech,Akwa Ibom
EMP_000167,Harmony Telecoms Ltd,Agriculture,Ondo
EMP_000168,Nova Fintech Services,Real Estate,Sokoto
EMP_000169,Abuja Property Group Holdings,Public Sector,Lagos
EMP_000170,Sunrise Healthcare Enterprises,Real Estate,Abia
EMP_000171,Greenfield Schools Holdings,Telecoms,Taraba
EMP_000172,Sunrise Healthcare PLC,Healthcare,Bayelsa
EMP_000173,Cedar Microfinance PLC,Retail,Osun
EMP_000174,Greenfield Schools Services,Agriculture,Edo
EMP_000175,Harmony Telecoms PLC,Agriculture,Katsina
EMP_000176,Cedar Microfinance Holdings,Retail,Ogun
EMP_000177,Bright Future NGO Services,Real Estate,Zamfara
EMP_000178,Sunrise Healthcare PLC,Healthcare,Taraba
EMP_000179,Coastal Foods Services,Fintech,Anambra
EMP_000180,Kano AgroCo Holdings,Public Sector,Ebonyi
EMP_000181,Metro Transport Ltd,Agriculture,Zamfara
EMP_000182,Nova Fintech Holdings,NGO,Osun
EMP_000183,Delta Manufacturing PLC,Real Estate,Rivers
EMP_000184,Unity Markets Enterprises,Public Sector,Cross River
EMP_000185,RiverStone Construction Enterprises,Logistics,Kaduna
EMP_000186,Sunrise Healthcare PLC,Retail,Yobe
EMP_000187,Harmony Telecoms PLC,Logistics,Bayelsa
EMP_000188,Coastal Foods Services,Fintech,Jigawa
EMP_000189,Atlas Security Enterprises,Retail,Borno
EMP_000190,Federal Service Dept Services,NGO,Kebbi
EMP_000191,Greenfield Schools Enterprises,Public Sector,Cross River
EMP_000192,Greenfield Schools Holdings,Construction,Ebonyi
EMP_000193,Kano AgroCo Enterprises,NGO,Kano
EMP_000194,Lagos Retail Hub Ltd,Public Sector,Lagos
EMP_000195,Unity Markets PLC,Logistics,Oyo
EMP_000196,Lagos Retail Hub Services,Manufacturing,Edo
EMP_000197,Oyo Media House Group,Fintech,Abia
EMP_000198,Harmony Telecoms Group,Manufacturing,Yobe
EMP_000199,Prime Consulting Ltd,Media,Anambra
EMP_000200,Sunrise Healthcare PLC,Telecoms,Kwara
